maturity_years,yield_pct,ns_fitted,ns_residual
0.5,1.95,1.972891507172491,-0.02289150717249111
1.0,1.95,1.939610145283468,0.010389854716531977
2.0,1.99,1.9578828350489246,0.032117164951075416
3.0,2.06,2.0414709807716758,0.018529019228324284
4.0,2.15,2.1542508974729557,-0.004250897472955817
5.0,2.26,2.2757332178757,-0.015733217875700145
6.0,2.37,2.394831214370115,-0.024831214370114818
7.0,2.48,2.5060191926018627,-0.026019192601862695
8.0,2.58,2.6069835642673844,-0.026983564267384352
9.0,2.68,2.697201787051489,-0.017201787051488893
10.0,2.76,2.7770947354232196,-0.01709473542321982
11.0,2.84,2.847530874203127,-0.007530874203127258
12.0,2.92,2.9095442500499655,0.010455749950034399
13.0,2.98,2.964180848027057,0.015819151972943146
14.0,3.03,3.0124207431024215,0.017579256897578333
15.0,3.08,3.0551439767397133,0.024856023260286797
16.0,3.12,3.093120806652249,0.02687919334775124
17.0,3.16,3.1270148198098675,0.032985180190132635
18.0,3.19,3.157392197432217,0.03260780256778295
19.0,3.22,3.1847333284636283,0.03526667153637186
20.0,3.24,3.209444707558591,0.03055529244140942
21.0,3.26,3.2318700764328403,0.028129923567159487
22.0,3.27,3.252300354455333,0.017699645544666964
23.0,3.28,3.2709822294125903,0.00901777058740949
24.0,3.29,3.2881254493576018,0.001874550642398276
25.0,3.3,3.3039089365480003,-0.003908936548000508
26.0,3.3,3.3184858740239136,-0.018485874023913773
27.0,3.31,3.331987917793927,-0.021987917793926837
28.0,3.31,3.344528676571968,-0.03452867657196812
29.0,3.31,3.3562065843274977,-0.04620658432749769
30.0,3.31,3.3671072728390397,-0.0571072728390396
