maturity_years,yield_pct,spline_fitted,spline_residual
0.5,1.95,1.9395865610048846,0.010413438995115376
1.0,1.95,1.9517469946451476,-0.0017469946451476037
2.0,1.99,1.9975850765782353,-0.007585076578235261
3.0,2.06,2.0674288319947176,-0.007428831994717555
4.0,2.15,2.155657525630569,-0.0056575256305690935
5.0,2.26,2.2566504222217634,0.0033495777782364122
6.0,2.37,2.3647867865042764,0.005213213495723679
7.0,2.48,2.474445883214081,0.005554116785918772
8.0,2.58,2.580006977087153,-6.977087152915118e-06
9.0,2.68,2.6768673582654774,0.0031326417345227675
10.0,2.76,2.7644964185150878,-0.004496418515087974
11.0,2.84,2.843381575008027,-0.003381575008027049
12.0,2.92,2.914010244916338,0.005989755083661841
13.0,2.98,2.976869845412067,0.0031301545879331982
14.0,3.03,3.0324477936672563,-0.002447793667256448
15.0,3.08,3.0812315068539493,-0.001231506853949238
16.0,3.12,3.1237034622353983,-0.0037034622353981916
17.0,3.16,3.160326377439686,-0.00032637743968599864
18.0,3.19,3.191558030186102,-0.0015580301861022328
19.0,3.22,3.217856198193937,0.002143801806063106
20.0,3.24,3.2396786591824815,0.00032134081751866717
21.0,3.26,3.2574831908710262,0.002516809128973563
22.0,3.27,3.27172757097886,-0.0017275709788600047
23.0,3.28,3.282869577225274,-0.0028695772252742557
24.0,3.29,3.2913669873295586,-0.0013669873295585333
25.0,3.3,3.2976775790110033,0.0023224209889964875
26.0,3.3,3.302259129988899,-0.002259129988899211
27.0,3.31,3.305569417982537,0.004430582017463269
28.0,3.31,3.308066220711205,0.0019337792887950123
29.0,3.31,3.3102073158941954,-0.0002073158941953146
30.0,3.31,3.312450481250798,-0.0024504812507979423
